EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, REFTELE_D (STAID: 6039).
Blended and updated with sources: 137988 137998 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
137988,19790101,    0,    0
137988,19790102,    0,    0
137988,19790103,    0,    0
137988,19790104,    0,    0
137988,19790105,    5,    0
137988,19790106,   11,    0
137988,19790107,  102,    0
137988,19790108,   14,    0
137988,19790109,   62,    0
137988,19790110,    0,    0
137988,19790111,   38,    0
137988,19790112,   94,    0
137988,19790113,    2,    0
137988,19790114,    2,    0
137988,19790115,    0,    0
137988,19790116,    0,    0
137988,19790117,    9,    0
137988,19790118,    5,    0
137988,19790119,    0,    0
137988,19790120,    0,    0
137988,19790121,    5,    0
137988,19790122,    5,    0
137988,19790123,   34,    0
137988,19790124,   42,    0
137988,19790125,   66,    0
137988,19790126,   62,    0
137988,19790127,    3,    0
137988,19790128,    0,    0
137988,19790129,    0,    0
137988,19790130,   13,    0
137988,19790131,    6,    0
137988,19790201,  108,    0
137988,19790202,    8,    0
137988,19790203,   91,    0
137988,19790204,    2,    0
137988,19790205,    0,    0
137988,19790206,    0,    0
137988,19790207,    0,    0
137988,19790208,   41,    0
137988,19790209,    0,    0
137988,19790210,    0,    0
137988,19790211,    0,    0
137988,19790212,    0,    0
137988,19790213,    0,    0
137988,19790214,    0,    0
137988,19790215,    0,    0
137988,19790216,    0,    0
137988,19790217,    0,    0
137988,19790218,   86,    0
137988,19790219,    0,    0
137988,19790220,    0,    0
137988,19790221,    0,    0
137988,19790222,    4,    0
137988,19790223,    0,    0
137988,19790224,    0,    0
137988,19790225,    0,    0
137988,19790226,   42,    0
137988,19790227,    0,    0
137988,19790228,    0,    0
137988,19790301,    4,    0
137988,19790302,  122,    0
137988,19790303,   17,    0
137988,19790304,    0,    0
137988,19790305,    0,    0
137988,19790306,    0,    0
137988,19790307,    0,    0
137988,19790308,   15,    0
137988,19790309,  133,    0
137988,19790310,    8,    0
137988,19790311,   62,    0
137988,19790312,   68,    0
137988,19790313,    0,    0
137988,19790314,    0,    0
137988,19790315,    0,    0
137988,19790316,   46,    0
137988,19790317,    0,    0
137988,19790318,    0,    0
137988,19790319,    7,    0
137988,19790320,    0,    0
137988,19790321,    7,    0
137988,19790322,  112,    0
137988,19790323,   49,    0
137988,19790324,    1,    0
137988,19790325,   57,    0
137988,19790326,  168,    0
137988,19790327,   10,    0
137988,19790328,    1,    0
137988,19790329,    0,    0
137988,19790330,   28,    0
137988,19790331,   48,    0
137988,19790401,   55,    0
137988,19790402,   34,    0
137988,19790403,   36,    0
137988,19790404,    0,    0
137988,19790405,    0,    0
137988,19790406,    0,    0
137988,19790407,    0,    0
137988,19790408,    0,    0
137988,19790409,    0,    0
137988,19790410,    0,    0
137988,19790411,    0,    0
137988,19790412,    0,    0
137988,19790413,   23,    0
137988,19790414,    0,    0
137988,19790415,    0,    0
137988,19790416,    0,    0
137988,19790417,    0,    0
137988,19790418,    0,    0
137988,19790419,    0,    0
137988,19790420,   24,    0
137988,19790421,    4,    0
137988,19790422,   22,    0
137988,19790423,   32,    0
137988,19790424,   91,    0
137988,19790425,    0,    0
137988,19790426,    0,    0
137988,19790427,    0,    0
137988,19790428,   14,    0
137988,19790429,  264,    0
137988,19790430,   52,    0
137988,19790501,   22,    0
137988,19790502,   48,    0
137988,19790503,   27,    0
137988,19790504,    0,    0
137988,19790505,    0,    0
137988,19790506,    0,    0
137988,19790507,   52,    0
137988,19790508,   31,    0
137988,19790509,    6,    0
137988,19790510,   10,    0
137988,19790511,    0,    0
137988,19790512,    0,    0
137988,19790513,    0,    0
137988,19790514,    0,    0
137988,19790515,    0,    0
137988,19790516,    0,    0
137988,19790517,   32,    0
137988,19790518,    2,    0
137988,19790519,    0,    0
137988,19790520,    0,    0
137988,19790521,    0,    0
137988,19790522,   41,    0
137988,19790523,   24,    0
137988,19790524,  119,    0
137988,19790525,   17,    0
137988,19790526,    5,    0
137988,19790527,   66,    0
137988,19790528,   28,    0
137988,19790529,    6,    0
137988,19790530,    0,    0
137988,19790531,    0,    0
137988,19790601,    0,    0
137988,19790602,    0,    0
137988,19790603,    0,    0
137988,19790604,    0,    0
137988,19790605,    0,    0
137988,19790606,    0,    0
137988,19790607,    6,    0
137988,19790608,   32,    0
137988,19790609,   32,    0
137988,19790610,    0,    0
137988,19790611,    0,    0
137988,19790612,    0,    0
137988,19790613,    1,    0
137988,19790614,    2,    0
137988,19790615,    6,    0
137988,19790616,    0,    0
137988,19790617,    0,    0
137988,19790618,    0,    0
137988,19790619,    0,    0
137988,19790620,    0,    0
137988,19790621,    0,    0
137988,19790622,    0,    0
137988,19790623,   19,    0
137988,19790624,  149,    0
137988,19790625,    0,    0
137988,19790626,   50,    0
137988,19790627,    0,    0
137988,19790628,   28,    0
137988,19790629,   60,    0
137988,19790630,   30,    0
137988,19790701,    8,    0
137988,19790702,   38,    0
137988,19790703,    0,    0
137988,19790704,    0,    0
137988,19790705,    0,    0
137988,19790706,   33,    0
137988,19790707,    0,    0
137988,19790708,   72,    0
137988,19790709,    0,    0
137988,19790710,   61,    0
137988,19790711,   88,    0
137988,19790712,    3,    0
137988,19790713,    0,    0
137988,19790714,    0,    0
137988,19790715,    0,    0
137988,19790716,   11,    0
137988,19790717,    0,    0
137988,19790718,  105,    0
137988,19790719,  121,    0
137988,19790720,   35,    0
137988,19790721,   32,    0
137988,19790722,    0,    0
137988,19790723,   18,    0
137988,19790724,    0,    0
137988,19790725,    0,    0
137988,19790726,   33,    0
137988,19790727,    2,    0
137988,19790728,    0,    0
137988,19790729,  227,    0
137988,19790730,   63,    0
137988,19790731,   21,    0
137988,19790801,   74,    0
137988,19790802,   17,    0
137988,19790803,    1,    0
137988,19790804,    0,    0
137988,19790805,   21,    0
137988,19790806,    0,    0
137988,19790807,    0,    0
137988,19790808,    0,    0
137988,19790809,   10,    0
137988,19790810,  117,    0
137988,19790811,    8,    0
137988,19790812,    0,    0
137988,19790813,    0,    0
137988,19790814,    0,    0
137988,19790815,    0,    0
137988,19790816,    0,    0
137988,19790817,    0,    0
137988,19790818,  116,    0
137988,19790819,   52,    0
137988,19790820,    0,    0
137988,19790821,    0,    0
137988,19790822,    0,    0
137988,19790823,    0,    0
137988,19790824,   31,    0
137988,19790825,  110,    0
137988,19790826,  290,    0
137988,19790827,   33,    0
137988,19790828,    0,    0
137988,19790829,    0,    0
137988,19790830,    0,    0
137988,19790831,    0,    0
137988,19790901,    0,    0
137988,19790902,    0,    0
137988,19790903,    0,    0
137988,19790904,    0,    0
137988,19790905,    0,    0
137988,19790906,    0,    0
137988,19790907,    0,    0
137988,19790908,    0,    0
137988,19790909,   18,    0
137988,19790910,    1,    0
137988,19790911,   58,    0
137988,19790912,    0,    0
137988,19790913,    1,    0
137988,19790914,  107,    0
137988,19790915,    0,    0
137988,19790916,   63,    0
137988,19790917,  146,    0
137988,19790918,   48,    0
137988,19790919,    0,    0
137988,19790920,  240,    0
137988,19790921,   25,    0
137988,19790922,    0,    0
137988,19790923,   10,    0
137988,19790924,   11,    0
137988,19790925,    0,    0
137988,19790926,   58,    0
137988,19790927,    5,    0
137988,19790928,   16,    0
137988,19790929,    4,    0
137988,19790930,    0,    0
137988,19791001,    0,    0
137988,19791002,    0,    0
137988,19791003,    0,    0
137988,19791004,    0,    0
137988,19791005,    0,    0
137988,19791006,    0,    0
137988,19791007,    0,    0
137988,19791008,    0,    0
137988,19791009,    0,    0
137988,19791010,    0,    0
137988,19791011,    0,    0
137988,19791012,    0,    0
137988,19791013,    0,    0
137988,19791014,    0,    0
137988,19791015,   94,    0
137988,19791016,   12,    0
137988,19791017,    0,    0
137988,19791018,   42,    0
137988,19791019,   44,    0
137988,19791020,    0,    0
137988,19791021,    0,    0
137988,19791022,    0,    0
137988,19791023,    0,    0
137988,19791024,    0,    0
137988,19791025,    0,    0
137988,19791026,    0,    0
137988,19791027,    0,    0
137988,19791028,    2,    0
137988,19791029,    0,    0
137988,19791030,    0,    0
137988,19791031,   89,    0
137988,19791101,   90,    0
137988,19791102,    4,    0
137988,19791103,    6,    0
137988,19791104,  102,    0
137988,19791105,   25,    0
137988,19791106,   60,    0
137988,19791107,    1,    0
137988,19791108,    5,    0
137988,19791109,    0,    0
137988,19791110,   44,    0
137988,19791111,   42,    0
137988,19791112,  127,    0
137988,19791113,   18,    0
137988,19791114,    6,    0
137988,19791115,   56,    0
137988,19791116,  117,    0
137988,19791117,   14,    0
137988,19791118,   48,    0
137988,19791119,   15,    0
137988,19791120,    0,    0
137988,19791121,    0,    0
137988,19791122,    0,    0
137988,19791123,  105,    0
137988,19791124,    7,    0
137988,19791125,  165,    0
137988,19791126,  185,    0
137988,19791127,    0,    0
137988,19791128,   32,    0
137988,19791129,   12,    0
137988,19791130,   15,    0
137988,19791201,    2,    0
137988,19791202,   40,    0
137988,19791203,   56,    0
137988,19791204,   68,    0
137988,19791205,   39,    0
137988,19791206,   26,    0
137988,19791207,    0,    0
137988,19791208,    0,    0
137988,19791209,   51,    0
137988,19791210,  140,    0
137988,19791211,    0,    0
137988,19791212,    0,    0
137988,19791213,    0,    0
137988,19791214,    0,    0
137988,19791215,   62,    0
137988,19791216,   41,    0
137988,19791217,  140,    0
137988,19791218,    8,    0
137988,19791219,    0,    0
137988,19791220,    0,    0
137988,19791221,    0,    0
137988,19791222,    5,    0
137988,19791223,    8,    0
137988,19791224,    0,    0
137988,19791225,    0,    0
137988,19791226,    5,    0
137988,19791227,   60,    0
137988,19791228,   80,    0
137988,19791229,   40,    0
137988,19791230,   35,    0
137988,19791231,    6,    0
137988,19800101,    0,    0
137988,19800102,    0,    0
137988,19800103,    0,    0
137988,19800104,    0,    0
137988,19800105,   19,    0
137988,19800106,   23,    0
137988,19800107,    7,    0
137988,19800108,    4,    0
137988,19800109,   24,    0
137988,19800110,    4,    0
137988,19800111,    0,    0
137988,19800112,    0,    0
137988,19800113,    4,    0
137988,19800114,   20,    0
137988,19800115,    0,    0
137988,19800116,    0,    0
137988,19800117,    0,    0
137988,19800118,    0,    0
137988,19800119,    0,    0
137988,19800120,    0,    0
137988,19800121,    0,    0
137988,19800122,   28,    0
137988,19800123,    3,    0
137988,19800124,    4,    0
137988,19800125,    0,    0
137988,19800126,    0,    0
137988,19800127,    0,    0
137988,19800128,   25,    0
137988,19800129,   44,    0
137988,19800130,  180,    0
137988,19800131,   52,    0
137988,19800201,   30,    0
137988,19800202,    0,    0
137988,19800203,    0,    0
137988,19800204,    0,    0
137988,19800205,    0,    0
137988,19800206,    4,    0
137988,19800207,   70,    0
137988,19800208,    0,    0
137988,19800209,  114,    0
137988,19800210,   81,    0
137988,19800211,    0,    0
137988,19800212,    0,    0
137988,19800213,   32,    0
137988,19800214,    0,    0
137988,19800215,   31,    0
137988,19800216,    0,    0
137988,19800217,    0,    0
137988,19800218,    0,    0
137988,19800219,    0,    0
137988,19800220,    0,    0
137988,19800221,    0,    0
137988,19800222,    0,    0
137988,19800223,    0,    0
137988,19800224,    0,    0
137988,19800225,    0,    0
137988,19800226,    0,    0
137988,19800227,    0,    0
137988,19800228,    0,    0
137988,19800229,    0,    0
137988,19800301,    0,    0
137988,19800302,   10,    0
137988,19800303,    0,    0
137988,19800304,    0,    0
137988,19800305,    0,    0
137988,19800306,    0,    0
137988,19800307,    5,    0
137988,19800308,    5,    0
137988,19800309,    0,    0
137988,19800310,    0,    0
137988,19800311,    0,    0
137988,19800312,    0,    0
137988,19800313,    0,    0
137988,19800314,    0,    0
137988,19800315,    0,    0
137988,19800316,    0,    0
137988,19800317,    0,    0
137988,19800318,    0,    0
137988,19800319,    0,    0
137988,19800320,    0,    0
137988,19800321,    0,    0
137988,19800322,    0,    0
137988,19800323,    0,    0
137988,19800324,    0,    0
137988,19800325,    0,    0
137988,19800326,    0,    0
137988,19800327,    0,    0
137988,19800328,   70,    0
137988,19800329,   40,    0
137988,19800330,   22,    0
137988,19800331,    0,    0
137988,19800401,    0,    0
137988,19800402,    0,    0
137988,19800403,    2,    0
137988,19800404,    0,    0
137988,19800405,    0,    0
137988,19800406,    0,    0
137988,19800407,    1,    0
137988,19800408,    2,    0
137988,19800409,    0,    0
137988,19800410,    0,    0
137988,19800411,    0,    0
137988,19800412,    0,    0
137988,19800413,    0,    0
137988,19800414,    0,    0
137988,19800415,    0,    0
137988,19800416,    0,    0
137988,19800417,    0,    0
137988,19800418,   29,    0
137988,19800419,    7,    0
137988,19800420,    9,    0
137988,19800421,    0,    0
137988,19800422,    0,    0
137988,19800423,    0,    0
137988,19800424,   85,    0
137988,19800425,    6,    0
137988,19800426,   45,    0
137988,19800427,   12,    0
137988,19800428,    0,    0
137988,19800429,    0,    0
137988,19800430,    0,    0
137988,19800501,    0,    0
137988,19800502,    0,    0
137988,19800503,    0,    0
137988,19800504,    0,    0
137988,19800505,    0,    0
137988,19800506,    0,    0
137988,19800507,   19,    0
137988,19800508,    2,    0
137988,19800509,    0,    0
137988,19800510,    0,    0
137988,19800511,    0,    0
137988,19800512,    0,    0
137988,19800513,    0,    0
137988,19800514,    0,    0
137988,19800515,    0,    0
137988,19800516,    0,    0
137988,19800517,    0,    0
137988,19800518,    0,    0
137988,19800519,    0,    0
137988,19800520,   89,    0
137988,19800521,    0,    0
137988,19800522,    0,    0
137988,19800523,   18,    0
137988,19800524,    0,    0
137988,19800525,   58,    0
137988,19800526,    0,    0
137988,19800527,    0,    0
137988,19800528,    0,    0
137988,19800529,   21,    0
137988,19800530,    2,    0
137988,19800531,    0,    0
137988,19800601,    0,    0
137988,19800602,   17,    0
137988,19800603,    0,    0
137988,19800604,    0,    0
137988,19800605,    0,    0
137988,19800606,    4,    0
137988,19800607,    0,    0
137988,19800608,    0,    0
137988,19800609,    7,    0
137988,19800610,    0,    0
137988,19800611,   88,    0
137988,19800612,    3,    0
137988,19800613,    0,    0
137988,19800614,    0,    0
137988,19800615,    6,    0
137988,19800616,    1,    0
137988,19800617,    0,    0
137988,19800618,    3,    0
137988,19800619,  140,    0
137988,19800620,   95,    0
137988,19800621,  180,    0
137988,19800622,  104,    0
137988,19800623,    0,    0
137988,19800624,   74,    0
137988,19800625,  148,    0
137988,19800626,   21,    0
137988,19800627,   95,    0
137988,19800628,  360,    0
137988,19800629,   40,    0
137988,19800630,   78,    0
137988,19800701,   33,    0
137988,19800702,    2,    0
137988,19800703,    0,    0
137988,19800704,    7,    0
137988,19800705,    5,    0
137988,19800706,    0,    0
137988,19800707,  370,    0
137988,19800708,    4,    0
137988,19800709,   52,    0
137988,19800710,    0,    0
137988,19800711,    1,    0
137988,19800712,    0,    0
137988,19800713,   30,    0
137988,19800714,    3,    0
137988,19800715,  116,    0
137988,19800716,  235,    0
137988,19800717,    0,    0
137988,19800718,    2,    0
137988,19800719,  102,    0
137988,19800720,   37,    0
137988,19800721,    0,    0
137988,19800722,    0,    0
137988,19800723,    0,    0
137988,19800724,    0,    0
137988,19800725,    0,    0
137988,19800726,    0,    0
137988,19800727,    0,    0
137988,19800728,    0,    0
137988,19800729,    0,    0
137988,19800730,    0,    0
137988,19800731,    0,    0
137988,19800801,   66,    0
137988,19800802,   10,    0
137988,19800803,   31,    0
137988,19800804,    2,    0
137988,19800805,   45,    0
137988,19800806,    9,    0
137988,19800807,    0,    0
137988,19800808,   47,    0
137988,19800809,   29,    0
137988,19800810,    5,    0
137988,19800811,    0,    0
137988,19800812,    0,    0
137988,19800813,    0,    0
137988,19800814,    0,    0
137988,19800815,    0,    0
137988,19800816,    0,    0
137988,19800817,    0,    0
137988,19800818,    0,    0
137988,19800819,   17,    0
137988,19800820,  165,    0
137988,19800821,   32,    0
137988,19800822,   10,    0
137988,19800823,  220,    0
137988,19800824,   21,    0
137988,19800825,  107,    0
137988,19800826,   65,    0
137988,19800827,    0,    0
137988,19800828,   25,    0
137988,19800829,    6,    0
137988,19800830,  202,    0
137988,19800831,    6,    0
137988,19800901,    0,    0
137988,19800902,    0,    0
137988,19800903,    0,    0
137988,19800904,    0,    0
137988,19800905,    2,    0
137988,19800906,    0,    0
137988,19800907,    0,    0
137988,19800908,    0,    0
137988,19800909,  105,    0
137988,19800910,   76,    0
137988,19800911,   27,    0
137988,19800912,   43,    0
137988,19800913,  310,    0
137988,19800914,   19,    0
137988,19800915,    0,    0
137988,19800916,    0,    0
137988,19800917,  126,    0
137988,19800918,    0,    0
137988,19800919,    0,    0
137988,19800920,    0,    0
137988,19800921,    0,    0
137988,19800922,    0,    0
137988,19800923,   22,    0
137988,19800924,   31,    0
137988,19800925,    0,    0
137988,19800926,    0,    0
137988,19800927,    4,    0
137988,19800928,    0,    0
137988,19800929,   28,    0
137988,19800930,   37,    0
137988,19801001,   37,    0
137988,19801002,    0,    0
137988,19801003,    0,    0
137988,19801004,    0,    0
137988,19801005,   31,    0
137988,19801006,   70,    0
137988,19801007,  178,    0
137988,19801008,  168,    0
137988,19801009,    8,    0
137988,19801010,  112,    0
137988,19801011,    4,    0
137988,19801012,    0,    0
137988,19801013,   16,    0
137988,19801014,  142,    0
137988,19801015,   24,    0
137988,19801016,    0,    0
137988,19801017,    4,    0
137988,19801018,    5,    0
137988,19801019,   52,    0
137988,19801020,    0,    0
137988,19801021,    0,    0
137988,19801022,   54,    0
137988,19801023,  138,    0
137988,19801024,   32,    0
137988,19801025,    5,    0
137988,19801026,    0,    0
137988,19801027,   60,    0
137988,19801028,   20,    0
137988,19801029,   84,    0
137988,19801030,   20,    0
137988,19801031,    0,    0
137988,19801101,    0,    0
137988,19801102,    0,    0
137988,19801103,    0,    0
137988,19801104,    3,    0
137988,19801105,    0,    0
137988,19801106,    0,    0
137988,19801107,    0,    0
137988,19801108,    6,    0
137988,19801109,    0,    0
137988,19801110,    1,    0
137988,19801111,   75,    0
137988,19801112,    0,    0
137988,19801113,   48,    0
137988,19801114,   40,    0
137988,19801115,   68,    0
137988,19801116,   65,    0
137988,19801117,  302,    0
137988,19801118,  198,    0
137988,19801119,    0,    0
137988,19801120,  140,    0
137988,19801121,   65,    0
137988,19801122,   70,    0
137988,19801123,    0,    0
137988,19801124,   69,    0
137988,19801125,   90,    0
137988,19801126,   33,    0
137988,19801127,   72,    0
137988,19801128,    0,    0
137988,19801129,    0,    0
137988,19801130,    0,    0
137988,19801201,   90,    0
137988,19801202,   43,    0
137988,19801203,    0,    0
137988,19801204,    0,    0
137988,19801205,    0,    0
137988,19801206,    0,    0
137988,19801207,    0,    0
137988,19801208,  102,    0
137988,19801209,   94,    0
137988,19801210,  110,    0
137988,19801211,   67,    0
137988,19801212,   35,    0
137988,19801213,  220,    0
137988,19801214,   45,    0
137988,19801215,  142,    0
137988,19801216,    7,    0
137988,19801217,   80,    0
137988,19801218,   73,    0
137988,19801219,    0,    0
137988,19801220,   32,    0
137988,19801221,    0,    0
137988,19801222,   34,    0
137988,19801223,   90,    0
137988,19801224,   35,    0
137988,19801225,   55,    0
137988,19801226,    4,    0
137988,19801227,    0,    0
137988,19801228,   38,    0
137988,19801229,    7,    0
137988,19801230,   80,    0
137988,19801231,   50,    0
137988,19810101,   32,    0
137988,19810102,   44,    0
137988,19810103,   24,    0
137988,19810104,    4,    0
137988,19810105,    6,    0
137988,19810106,    0,    0
137988,19810107,    0,    0
137988,19810108,   82,    0
137988,19810109,   60,    0
137988,19810110,    0,    0
137988,19810111,   10,    0
137988,19810112,  112,    0
137988,19810113,    0,    0
137988,19810114,  234,    0
137988,19810115,   18,    0
137988,19810116,    0,    0
137988,19810117,    5,    0
137988,19810118,    0,    0
137988,19810119,    0,    0
