EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, DUN LAOGHAIRE (PEOPLES PARK) (STAID: 1761).
Blended and updated with sources: 107789 107805 107818 107825 107874 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107874,19790101,    0,    0
107874,19790102,    0,    0
107874,19790103,    0,    0
107874,19790104,    0,    0
107874,19790105,    0,    0
107874,19790106,   23,    0
107874,19790107,    1,    0
107874,19790108,   11,    0
107874,19790109,   21,    0
107874,19790110,    5,    0
107818,19790111,    0,    0
107818,19790112,    0,    0
107874,19790113,   35,    0
107874,19790114,    5,    0
107874,19790115,    6,    0
107818,19790116,   22,    0
107818,19790117,    5,    0
107818,19790118,    0,    0
107874,19790119,  102,    0
107874,19790120,    1,    0
107874,19790121,    0,    0
107874,19790122,   10,    0
107874,19790123,    4,    0
107874,19790124,   14,    0
107874,19790125,   14,    0
107874,19790126,    4,    0
107874,19790127,   15,    0
107874,19790128,   43,    0
107874,19790129,   24,    0
107874,19790130,    0,    0
107874,19790131,  230,    0
107825,19790201,  103,    0
107825,19790202,    0,    0
107825,19790203,    0,    0
107825,19790204,    0,    0
107825,19790205,    0,    0
107825,19790206,    0,    0
107825,19790207,    0,    0
107825,19790208,   55,    0
107825,19790209,    0,    0
107825,19790210,   62,    0
107825,19790211,    0,    0
107825,19790212,    0,    0
107825,19790213,    6,    0
107825,19790214,    0,    0
107825,19790215,   12,    0
107825,19790216,    0,    0
107825,19790217,   64,    0
107825,19790218,   89,    0
107825,19790219,    0,    0
107825,19790220,   30,    0
107825,19790221,   61,    0
107825,19790222,    0,    0
107825,19790223,    1,    0
107825,19790224,    0,    0
107825,19790225,    0,    0
107825,19790226,    0,    0
107825,19790227,   69,    0
107825,19790228,    0,    0
107825,19790301,    4,    0
107874,19790302,    8,    0
107825,19790303,    0,    0
107825,19790304,    0,    0
107825,19790305,    7,    0
107825,19790306,   66,    0
107825,19790307,    0,    0
107825,19790308,   25,    0
107825,19790309,    8,    0
107825,19790310,    2,    0
107825,19790311,    0,    0
107825,19790312,    0,    0
107825,19790313,    0,    0
107825,19790314,    0,    0
107825,19790315,   28,    0
107825,19790316,   82,    0
107825,19790317,   38,    0
107825,19790318,    8,    0
107825,19790319,    0,    0
107825,19790320,   12,    0
107825,19790321,    5,    0
107825,19790322,    0,    0
107825,19790323,    0,    0
107825,19790324,   21,    0
107825,19790325,  102,    0
107825,19790326,   21,    0
107825,19790327,   10,    0
107825,19790328,    0,    0
107825,19790329,    0,    0
107825,19790330,    9,    0
107825,19790331,    0,    0
107825,19790401,    0,    0
107825,19790402,   14,    0
107825,19790403,   30,    0
107825,19790404,    0,    0
107825,19790405,    0,    0
107825,19790406,    7,    0
107825,19790407,   19,    0
107825,19790408,   52,    0
107825,19790409,   14,    0
107825,19790410,   90,    0
107825,19790411,   15,    0
107825,19790412,    5,    0
107825,19790413,   45,    0
107825,19790414,    0,    0
107825,19790415,    0,    0
107825,19790416,    0,    0
107825,19790417,    0,    0
107825,19790418,    0,    0
107825,19790419,    9,    0
107825,19790420,    0,    0
107825,19790421,    0,    0
107825,19790422,   66,    0
107825,19790423,   32,    0
107825,19790424,   20,    0
107825,19790425,   34,    0
107825,19790426,    0,    0
107825,19790427,    0,    0
107825,19790428,    0,    0
107825,19790429,    5,    0
107874,19790430,   17,    0
107805,19790501,   30,    0
107805,19790502,   35,    0
107805,19790503,   19,    0
107805,19790504,   21,    0
107825,19790505,    3,    0
107825,19790506,   58,    0
107825,19790507,   82,    0
107825,19790508,   31,    0
107825,19790509,   45,    0
107825,19790510,   30,    0
107825,19790511,    0,    0
107805,19790512,    0,    0
107805,19790513,    0,    0
107805,19790514,    0,    0
107805,19790515,   20,    0
107805,19790516,   24,    0
107805,19790517,   31,    0
107805,19790518,    0,    0
107805,19790519,    0,    0
107805,19790520,    0,    0
107805,19790521,   23,    0
107805,19790522,   19,    0
107874,19790523,   22,    0
107825,19790524,   52,    0
107818,19790525,    0,    0
107825,19790526,    0,    0
107825,19790527,  100,    0
107825,19790528,   40,    0
107825,19790529,    0,    0
107825,19790530,    5,    0
107825,19790531,    0,    0
107825,19790601,    0,    0
107825,19790602,    0,    0
107825,19790603,    0,    0
107825,19790604,    0,    0
107825,19790605,    0,    0
107825,19790606,   23,    0
107825,19790607,    0,    0
107825,19790608,    0,    0
107825,19790609,    0,    0
107825,19790610,    0,    0
107825,19790611,   18,    0
107825,19790612,   93,    0
107805,19790613,   65,    0
107805,19790614,   27,    0
107825,19790615,    0,    0
107825,19790616,    0,    0
107825,19790617,    0,    0
107825,19790618,    0,    0
107825,19790619,    0,    0
107825,19790620,    0,    0
107825,19790621,    0,    0
107825,19790622,    0,    0
107874,19790623,   22,    0
107825,19790624,   10,    0
107805,19790625,    0,    0
107805,19790626,    0,    0
107805,19790627,    0,    0
107805,19790628,    0,    0
107805,19790629,    0,    0
107805,19790630,    0,    0
107825,19790701,    0,    0
107825,19790702,    0,    0
107825,19790703,    0,    0
107825,19790704,    0,    0
107825,19790705,    0,    0
107825,19790706,    0,    0
107825,19790707,    0,    0
107825,19790708,    0,    0
107825,19790709,    0,    0
107825,19790710,    0,    0
107825,19790711,    0,    0
107825,19790712,    0,    0
