EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASLAND (STAID: 2471).
Blended and updated with sources: 109014 109200 152494 155431 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155431,19790101,    5,    0
155431,19790102,    0,    0
155431,19790103,    0,    0
155431,19790104,    0,    0
155431,19790105,    0,    0
155431,19790106,    0,    0
155431,19790107,   56,    0
155431,19790108,   49,    0
155431,19790109,    5,    0
155431,19790110,   38,    0
155431,19790111,   24,    0
155431,19790112,    3,    0
155431,19790113,   43,    0
155431,19790114,    0,    0
155431,19790115,    0,    0
155431,19790116,    0,    0
155431,19790117,    0,    0
155431,19790118,    0,    0
155431,19790119,    0,    0
155431,19790120,   18,    0
155431,19790121,    0,    0
155431,19790122,    0,    0
155431,19790123,   91,    0
155431,19790124,   14,    0
155431,19790125,   38,    0
155431,19790126,   20,    0
155431,19790127,    0,    0
155431,19790128,   18,    0
155431,19790129,   27,    0
155431,19790130,    5,    0
155431,19790131,    5,    0
155431,19790201,  117,    0
155431,19790202,    0,    0
155431,19790203,    0,    0
155431,19790204,    0,    0
155431,19790205,    0,    0
155431,19790206,   11,    0
155431,19790207,   29,    0
155431,19790208,    0,    0
155431,19790209,    0,    0
155431,19790210,    0,    0
155431,19790211,   51,    0
155431,19790212,   61,    0
155431,19790213,  133,    0
155431,19790214,    0,    0
155431,19790215,    0,    0
155431,19790216,    0,    0
155431,19790217,    0,    0
155431,19790218,    0,    0
155431,19790219,    0,    0
155431,19790220,    0,    0
155431,19790221,    0,    0
155431,19790222,   41,    0
155431,19790223,    0,    0
155431,19790224,    0,    0
155431,19790225,    0,    0
155431,19790226,    0,    0
155431,19790227,    0,    0
155431,19790228,    0,    0
155431,19790301,   42,    0
155431,19790302,   10,    0
155431,19790303,  125,    0
155431,19790304,    8,    0
155431,19790305,    0,    0
155431,19790306,    5,    0
155431,19790307,    3,    0
155431,19790308,   36,    0
155431,19790309,   78,    0
155431,19790310,   73,    0
155431,19790311,   79,    0
155431,19790312,    0,    0
155431,19790313,   82,    0
155431,19790314,   20,    0
155431,19790315,   64,    0
155431,19790316,    8,    0
155431,19790317,    2,    0
155431,19790318,    0,    0
155431,19790319,    0,    0
155431,19790320,    0,    0
155431,19790321,   47,    0
155431,19790322,   21,    0
155431,19790323,    0,    0
155431,19790324,   51,    0
155431,19790325,   21,    0
155431,19790326,   67,    0
155431,19790327,   45,    0
155431,19790328,   11,    0
155431,19790329,    3,    0
155431,19790330,    3,    0
155431,19790331,    8,    0
155431,19790401,   13,    0
155431,19790402,   71,    0
155431,19790403,   12,    0
155431,19790404,    0,    0
155431,19790405,   55,    0
155431,19790406,   42,    0
155431,19790407,    0,    0
155431,19790408,    0,    0
155431,19790409,    0,    0
155431,19790410,    0,    0
155431,19790411,    7,    0
155431,19790412,   56,    0
155431,19790413,    0,    0
155431,19790414,    0,    0
155431,19790415,    0,    0
155431,19790416,   13,    0
155431,19790417,    0,    0
155431,19790418,    0,    0
155431,19790419,   33,    0
155431,19790420,   49,    0
155431,19790421,    9,    0
155431,19790422,   16,    0
155431,19790423,    0,    0
155431,19790424,    6,    0
155431,19790425,    7,    0
155431,19790426,    0,    0
155431,19790427,   11,    0
155431,19790428,   89,    0
155431,19790429,   74,    0
155431,19790430,    0,    0
155431,19790501,  371,    0
155431,19790502,   24,    0
155431,19790503,   25,    0
155431,19790504,   24,    0
155431,19790505,    5,    0
155431,19790506,    0,    0
155431,19790507,    0,    0
155431,19790508,    0,    0
155431,19790509,    0,    0
155431,19790510,   49,    0
155431,19790511,   31,    0
155431,19790512,    0,    0
155431,19790513,    0,    0
155431,19790514,    0,    0
155431,19790515,    0,    0
155431,19790516,   17,    0
155431,19790517,   12,    0
155431,19790518,    0,    0
155431,19790519,    0,    0
155431,19790520,   20,    0
155431,19790521,   22,    0
155431,19790522,   12,    0
155431,19790523,   53,    0
155431,19790524,   86,    0
155431,19790525,   40,    0
155431,19790526,  115,    0
155431,19790527,  114,    0
155431,19790528,   37,    0
155431,19790529,   59,    0
155431,19790530,   47,    0
155431,19790531,  119,    0
155431,19790601,    0,    0
155431,19790602,    0,    0
155431,19790603,   53,    0
155431,19790604,    0,    0
155431,19790605,    0,    0
155431,19790606,    0,    0
155431,19790607,   83,    0
155431,19790608,    0,    0
155431,19790609,    0,    0
155431,19790610,  129,    0
155431,19790611,    0,    0
155431,19790612,  152,    0
155431,19790613,   61,    0
155431,19790614,  145,    0
155431,19790615,  101,    0
155431,19790616,    0,    0
155431,19790617,    0,    0
155431,19790618,    0,    0
155431,19790619,    0,    0
155431,19790620,    0,    0
155431,19790621,    0,    0
155431,19790622,    0,    0
155431,19790623,   89,    0
155431,19790624,    7,    0
155431,19790625,    7,    0
155431,19790626,    0,    0
155431,19790627,    0,    0
155431,19790628,    0,    0
155431,19790629,    0,    0
155431,19790630,    0,    0
155431,19790701,    0,    0
155431,19790702,    0,    0
155431,19790703,    0,    0
155431,19790704,    0,    0
155431,19790705,    0,    0
155431,19790706,    0,    0
155431,19790707,   18,    0
155431,19790708,   30,    0
155431,19790709,    2,    0
155431,19790710,    0,    0
155431,19790711,    0,    0
155431,19790712,    0,    0
155431,19790713,    0,    0
155431,19790714,    0,    0
155431,19790715,    0,    0
155431,19790716,   14,    0
155431,19790717,    0,    0
155431,19790718,   71,    0
155431,19790719,    0,    0
155431,19790720,    0,    0
155431,19790721,   13,    0
155431,19790722,    0,    0
155431,19790723,    0,    0
155431,19790724,    0,    0
155431,19790725,    0,    0
155431,19790726,    0,    0
155431,19790727,    0,    0
155431,19790728,   52,    0
155431,19790729,   13,    0
155431,19790730,    0,    0
155431,19790731,    0,    0
155431,19790801,   30,    0
155431,19790802,    0,    0
155431,19790803,    0,    0
155431,19790804,    0,    0
155431,19790805,    0,    0
155431,19790806,    0,    0
155431,19790807,   12,    0
155431,19790808,   31,    0
155431,19790809,  199,    0
155431,19790810,  122,    0
155431,19790811,    4,    0
155431,19790812,   13,    0
155431,19790813,    0,    0
155431,19790814,    0,    0
155431,19790815,    0,    0
155431,19790816,   32,    0
155431,19790817,   23,    0
155431,19790818,    0,    0
155431,19790819,    0,    0
155431,19790820,   40,    0
155431,19790821,   24,    0
155431,19790822,    8,    0
155431,19790823,   70,    0
155431,19790824,  110,    0
155431,19790825,   51,    0
155431,19790826,   17,    0
155431,19790827,    7,    0
155431,19790828,    0,    0
155431,19790829,    0,    0
155431,19790830,    0,    0
155431,19790831,    0,    0
155431,19790901,    0,    0
155431,19790902,   73,    0
155431,19790903,   48,    0
155431,19790904,    0,    0
155431,19790905,    0,    0
155431,19790906,    0,    0
155431,19790907,    0,    0
155431,19790908,    0,    0
155431,19790909,    0,    0
155431,19790910,    0,    0
155431,19790911,    0,    0
155431,19790912,    0,    0
155431,19790913,    0,    0
155431,19790914,   12,    0
155431,19790915,    0,    0
155431,19790916,    0,    0
155431,19790917,    0,    0
155431,19790918,   66,    0
155431,19790919,   37,    0
155431,19790920,   14,    0
155431,19790921,   86,    0
155431,19790922,    0,    0
155431,19790923,   42,    0
155431,19790924,    0,    0
155431,19790925,    0,    0
155431,19790926,   19,    0
155431,19790927,    0,    0
155431,19790928,    0,    0
155431,19790929,    0,    0
155431,19790930,    0,    0
155431,19791001,    0,    0
155431,19791002,    0,    0
155431,19791003,    0,    0
155431,19791004,  285,    0
155431,19791005,   18,    0
155431,19791006,    3,    0
155431,19791007,    0,    0
155431,19791008,    0,    0
155431,19791009,    0,    0
155431,19791010,    0,    0
155431,19791011,   73,    0
155431,19791012,   29,    0
155431,19791013,  202,    0
155431,19791014,  118,    0
155431,19791015,   66,    0
155431,19791016,    0,    0
155431,19791017,   22,    0
155431,19791018,    0,    0
155431,19791019,    0,    0
155431,19791020,    0,    0
155431,19791021,    0,    0
155431,19791022,    0,    0
155431,19791023,    0,    0
155431,19791024,    0,    0
155431,19791025,    0,    0
155431,19791026,    0,    0
155431,19791027,    0,    0
155431,19791028,    0,    0
155431,19791029,   46,    0
155431,19791030,   19,    0
155431,19791031,   29,    0
155431,19791101,    0,    0
155431,19791102,    0,    0
155431,19791103,    9,    0
155431,19791104,  119,    0
155431,19791105,   35,    0
155431,19791106,    0,    0
155431,19791107,  128,    0
155431,19791108,   38,    0
155431,19791109,   41,    0
155431,19791110,   21,    0
155431,19791111,   67,    0
155431,19791112,   40,    0
155431,19791113,    0,    0
155431,19791114,   84,    0
155431,19791115,   18,    0
155431,19791116,    0,    0
155431,19791117,   40,    0
155431,19791118,   20,    0
155431,19791119,    0,    0
155431,19791120,    0,    0
155431,19791121,    0,    0
155431,19791122,    0,    0
