EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, ODESHOG (STAID: 6152).
Blended and updated with sources: 138408 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138408,19790101,    4,    0
138408,19790102,   22,    0
138408,19790103,    3,    0
138408,19790104,    4,    0
138408,19790105,    0,    0
138408,19790106,    2,    0
138408,19790107,    6,    0
138408,19790108,    0,    0
138408,19790109,   69,    0
138408,19790110,    3,    0
138408,19790111,    2,    0
138408,19790112,   33,    0
138408,19790113,    8,    0
138408,19790114,    0,    0
138408,19790115,    0,    0
138408,19790116,    0,    0
138408,19790117,    3,    0
138408,19790118,    2,    0
138408,19790119,    5,    0
138408,19790120,    0,    0
138408,19790121,    5,    0
138408,19790122,    5,    0
138408,19790123,    1,    0
138408,19790124,   24,    0
138408,19790125,   52,    0
138408,19790126,   71,    0
138408,19790127,    5,    0
138408,19790128,    0,    0
138408,19790129,    0,    0
138408,19790130,  148,    0
138408,19790131,   78,    0
138408,19790201,    5,    0
138408,19790202,    4,    0
138408,19790203,   66,    0
138408,19790204,    0,    0
138408,19790205,    2,    0
138408,19790206,    0,    0
138408,19790207,    0,    0
138408,19790208,    2,    0
138408,19790209,    0,    0
138408,19790210,    0,    0
138408,19790211,    0,    0
138408,19790212,    0,    0
138408,19790213,    2,    0
138408,19790214,    0,    0
138408,19790215,    0,    0
138408,19790216,    0,    0
138408,19790217,    0,    0
138408,19790218,   49,    0
138408,19790219,   12,    0
138408,19790220,    0,    0
138408,19790221,    0,    0
138408,19790222,    2,    0
138408,19790223,    0,    0
138408,19790224,    0,    0
138408,19790225,    0,    0
138408,19790226,    0,    0
138408,19790227,    0,    0
138408,19790228,    0,    0
138408,19790301,    9,    0
138408,19790302,    0,    0
138408,19790303,    0,    0
138408,19790304,    0,    0
138408,19790305,    0,    0
138408,19790306,    0,    0
138408,19790307,    0,    0
138408,19790308,    0,    0
138408,19790309,    6,    0
138408,19790310,    0,    0
138408,19790311,    2,    0
138408,19790312,   35,    0
138408,19790313,    5,    0
138408,19790314,    2,    0
138408,19790315,    0,    0
138408,19790316,    9,    0
138408,19790317,    0,    0
138408,19790318,    0,    0
138408,19790319,    0,    0
138408,19790320,    0,    0
138408,19790321,    1,    0
138408,19790322,   22,    0
138408,19790323,   22,    0
138408,19790324,    0,    0
138408,19790325,   13,    0
138408,19790326,   45,    0
138408,19790327,    0,    0
138408,19790328,    9,    0
138408,19790329,    5,    0
138408,19790330,   43,    0
138408,19790331,   28,    0
138408,19790401,   48,    0
138408,19790402,    8,    0
138408,19790403,    0,    0
138408,19790404,    0,    0
138408,19790405,    0,    0
138408,19790406,    0,    0
138408,19790407,    0,    0
138408,19790408,    0,    0
138408,19790409,    0,    0
138408,19790410,    0,    0
138408,19790411,    0,    0
138408,19790412,    4,    0
138408,19790413,   43,    0
138408,19790414,    0,    0
138408,19790415,    0,    0
138408,19790416,   21,    0
138408,19790417,    8,    0
138408,19790418,    0,    0
138408,19790419,    0,    0
138408,19790420,   26,    0
138408,19790421,    6,    0
138408,19790422,   12,    0
138408,19790423,   26,    0
138408,19790424,   86,    0
138408,19790425,    0,    0
138408,19790426,    0,    0
138408,19790427,   12,    0
138408,19790428,    0,    0
138408,19790429,   87,    0
138408,19790430,   31,    0
138408,19790501,    2,    0
138408,19790502,   25,    0
138408,19790503,   11,    0
138408,19790504,    0,    0
138408,19790505,    0,    0
138408,19790506,    0,    0
138408,19790507,   21,    0
138408,19790508,   62,    0
138408,19790509,   89,    0
138408,19790510,    2,    0
138408,19790511,    0,    0
138408,19790512,    0,    0
138408,19790513,    0,    0
138408,19790514,    0,    0
138408,19790515,    0,    0
138408,19790516,    0,    0
138408,19790517,    2,    0
138408,19790518,    0,    0
138408,19790519,    4,    0
138408,19790520,    0,    0
138408,19790521,    5,    0
138408,19790522,   53,    0
138408,19790523,   18,    0
138408,19790524,   48,    0
138408,19790525,   67,    0
138408,19790526,    3,    0
138408,19790527,   62,    0
138408,19790528,    8,    0
138408,19790529,    5,    0
138408,19790530,    9,    0
138408,19790531,    0,    0
138408,19790601,    0,    0
138408,19790602,    0,    0
138408,19790603,    0,    0
138408,19790604,    0,    0
138408,19790605,    0,    0
138408,19790606,    0,    0
138408,19790607,    0,    0
138408,19790608,    8,    0
138408,19790609,  123,    0
138408,19790610,    0,    0
138408,19790611,    0,    0
138408,19790612,   16,    0
138408,19790613,    3,    0
138408,19790614,    0,    0
138408,19790615,    6,    0
138408,19790616,    0,    0
138408,19790617,    0,    0
138408,19790618,    0,    0
138408,19790619,    0,    0
138408,19790620,    0,    0
138408,19790621,    0,    0
138408,19790622,    3,    0
138408,19790623,    0,    0
138408,19790624,   25,    0
138408,19790625,   37,    0
138408,19790626,    8,    0
138408,19790627,    0,    0
138408,19790628,    2,    0
138408,19790629,    5,    0
138408,19790630,    3,    0
138408,19790701,    4,    0
138408,19790702,    5,    0
138408,19790703,    0,    0
138408,19790704,    5,    0
138408,19790705,    0,    0
138408,19790706,    0,    0
138408,19790707,    0,    0
138408,19790708,  110,    0
138408,19790709,   10,    0
138408,19790710,    4,    0
138408,19790711,    3,    0
138408,19790712,    0,    0
138408,19790713,    0,    0
138408,19790714,    0,    0
138408,19790715,    0,    0
138408,19790716,   16,    0
138408,19790717,    0,    0
138408,19790718,   32,    0
138408,19790719,    5,    0
138408,19790720,    3,    0
138408,19790721,    0,    0
138408,19790722,   18,    0
138408,19790723,   61,    0
138408,19790724,   10,    0
138408,19790725,   11,    0
138408,19790726,    0,    0
138408,19790727,    0,    0
138408,19790728,    0,    0
138408,19790729,  105,    0
138408,19790730,  255,    0
138408,19790731,  102,    0
138408,19790801,   42,    0
138408,19790802,   21,    0
138408,19790803,    0,    0
138408,19790804,    0,    0
138408,19790805,    0,    0
138408,19790806,    0,    0
138408,19790807,    0,    0
138408,19790808,   13,    0
138408,19790809,    6,    0
138408,19790810,  272,    0
138408,19790811,  147,    0
138408,19790812,    0,    0
138408,19790813,    0,    0
138408,19790814,    0,    0
138408,19790815,    0,    0
138408,19790816,    0,    0
138408,19790817,    0,    0
138408,19790818,    1,    0
138408,19790819,    0,    0
138408,19790820,    0,    0
138408,19790821,    0,    0
138408,19790822,    0,    0
138408,19790823,    0,    0
138408,19790824,   10,    0
138408,19790825,  209,    0
138408,19790826,  250,    0
138408,19790827,   13,    0
138408,19790828,    0,    0
138408,19790829,    0,    0
138408,19790830,    0,    0
138408,19790831,    0,    0
138408,19790901,    0,    0
138408,19790902,   47,    0
138408,19790903,    0,    0
138408,19790904,    1,    0
138408,19790905,    3,    0
138408,19790906,    0,    0
138408,19790907,    0,    0
138408,19790908,    4,    0
138408,19790909,    5,    0
138408,19790910,    0,    0
138408,19790911,    2,    0
138408,19790912,   10,    0
138408,19790913,    0,    0
138408,19790914,    0,    0
138408,19790915,    0,    0
138408,19790916,    6,    0
138408,19790917,   28,    0
138408,19790918,    1,    0
138408,19790919,    0,    0
138408,19790920,    6,    0
138408,19790921,    1,    0
138408,19790922,    1,    0
138408,19790923,    1,    0
138408,19790924,    2,    0
138408,19790925,    0,    0
138408,19790926,   60,    0
138408,19790927,    0,    0
138408,19790928,    0,    0
138408,19790929,    0,    0
138408,19790930,    0,    0
138408,19791001,    0,    0
138408,19791002,    0,    0
138408,19791003,    0,    0
138408,19791004,    0,    0
138408,19791005,    0,    0
138408,19791006,    0,    0
138408,19791007,    0,    0
138408,19791008,    0,    0
138408,19791009,    0,    0
138408,19791010,    0,    0
138408,19791011,    0,    0
138408,19791012,    0,    0
138408,19791013,    0,    0
138408,19791014,    1,    0
138408,19791015,   61,    0
138408,19791016,   38,    0
138408,19791017,    0,    0
138408,19791018,   39,    0
138408,19791019,    6,    0
138408,19791020,    0,    0
138408,19791021,    0,    0
138408,19791022,    0,    0
138408,19791023,    0,    0
138408,19791024,    0,    0
138408,19791025,    0,    0
138408,19791026,    0,    0
138408,19791027,    0,    0
138408,19791028,    4,    0
138408,19791029,    0,    0
138408,19791030,    0,    0
138408,19791031,    3,    0
138408,19791101,   40,    0
138408,19791102,    7,    0
138408,19791103,    0,    0
138408,19791104,   21,    0
138408,19791105,    0,    0
138408,19791106,   71,    0
138408,19791107,    0,    0
138408,19791108,    0,    0
138408,19791109,   15,    0
138408,19791110,    3,    0
138408,19791111,   10,    0
138408,19791112,   26,    0
138408,19791113,   15,    0
138408,19791114,    5,    0
138408,19791115,   14,    0
138408,19791116,  129,    0
138408,19791117,    2,    0
138408,19791118,   48,    0
138408,19791119,   57,    0
138408,19791120,    0,    0
138408,19791121,    0,    0
138408,19791122,    0,    0
138408,19791123,   13,    0
138408,19791124,    2,    0
138408,19791125,    2,    0
138408,19791126,   46,    0
138408,19791127,    0,    0
138408,19791128,   34,    0
138408,19791129,    0,    0
138408,19791130,   31,    0
138408,19791201,   15,    0
138408,19791202,   19,    0
138408,19791203,   17,    0
138408,19791204,    8,    0
138408,19791205,    0,    0
138408,19791206,    0,    0
138408,19791207,    2,    0
138408,19791208,    2,    0
138408,19791209,    0,    0
138408,19791210,    3,    0
138408,19791211,    0,    0
138408,19791212,    0,    0
138408,19791213,    0,    0
138408,19791214,    7,    0
138408,19791215,    7,    0
138408,19791216,    7,    0
138408,19791217,  140,    0
138408,19791218,    4,    0
138408,19791219,   10,    0
138408,19791220,   24,    0
138408,19791221,    0,    0
138408,19791222,    8,    0
138408,19791223,    0,    0
138408,19791224,    0,    0
138408,19791225,    9,    0
138408,19791226,    1,    0
138408,19791227,    0,    0
138408,19791228,    2,    0
138408,19791229,   11,    0
138408,19791230,   46,    0
138408,19791231,   20,    0
138408,19800101,   12,    0
138408,19800102,    3,    0
138408,19800103,    3,    0
138408,19800104,    0,    0
138408,19800105,    0,    0
138408,19800106,    2,    0
138408,19800107,    5,    0
138408,19800108,    0,    0
138408,19800109,    6,    0
138408,19800110,    2,    0
138408,19800111,    0,    0
138408,19800112,    0,    0
138408,19800113,    3,    0
138408,19800114,    0,    0
138408,19800115,    0,    0
138408,19800116,    0,    0
138408,19800117,    0,    0
138408,19800118,    0,    0
138408,19800119,    0,    0
138408,19800120,    0,    0
138408,19800121,    0,    0
138408,19800122,   47,    0
138408,19800123,   25,    0
138408,19800124,   10,    0
138408,19800125,    5,    0
138408,19800126,    2,    0
138408,19800127,    0,    0
138408,19800128,    8,    0
138408,19800129,    3,    0
138408,19800130,   46,    0
138408,19800131,    3,    0
138408,19800201,    0,    0
138408,19800202,    2,    0
138408,19800203,    0,    0
138408,19800204,    0,    0
138408,19800205,    0,    0
138408,19800206,    2,    0
138408,19800207,    0,    0
138408,19800208,    2,    0
138408,19800209,   13,    0
138408,19800210,  105,    0
138408,19800211,   19,    0
138408,19800212,    0,    0
138408,19800213,   11,    0
138408,19800214,    0,    0
138408,19800215,   11,    0
138408,19800216,    3,    0
138408,19800217,    2,    0
138408,19800218,    0,    0
138408,19800219,    0,    0
138408,19800220,    2,    0
138408,19800221,    0,    0
138408,19800222,    0,    0
138408,19800223,    0,    0
138408,19800224,    0,    0
138408,19800225,    0,    0
138408,19800226,    0,    0
138408,19800227,    2,    0
138408,19800228,    0,    0
138408,19800229,    0,    0
138408,19800301,    0,    0
138408,19800302,    2,    0
138408,19800303,    0,    0
138408,19800304,    0,    0
138408,19800305,    0,    0
138408,19800306,    0,    0
138408,19800307,    0,    0
138408,19800308,    9,    0
138408,19800309,    1,    0
138408,19800310,    9,    0
138408,19800311,    3,    0
138408,19800312,    0,    0
138408,19800313,    2,    0
138408,19800314,    0,    0
138408,19800315,    0,    0
138408,19800316,    0,    0
138408,19800317,    2,    0
138408,19800318,    0,    0
138408,19800319,    0,    0
138408,19800320,    0,    0
138408,19800321,    0,    0
138408,19800322,    0,    0
138408,19800323,    0,    0
138408,19800324,    0,    0
138408,19800325,    0,    0
138408,19800326,    0,    0
138408,19800327,    0,    0
138408,19800328,   39,    0
138408,19800329,   24,    0
138408,19800330,    9,    0
138408,19800331,    0,    0
138408,19800401,    0,    0
138408,19800402,    0,    0
138408,19800403,    9,    0
138408,19800404,    0,    0
138408,19800405,    0,    0
138408,19800406,    0,    0
138408,19800407,    0,    0
138408,19800408,    4,    0
138408,19800409,    0,    0
138408,19800410,    0,    0
138408,19800411,    0,    0
138408,19800412,    0,    0
138408,19800413,    0,    0
138408,19800414,    0,    0
138408,19800415,    0,    0
138408,19800416,    0,    0
138408,19800417,   28,    0
138408,19800418,   23,    0
138408,19800419,  132,    0
138408,19800420,   25,    0
138408,19800421,    0,    0
138408,19800422,    0,    0
138408,19800423,    0,    0
138408,19800424,   65,    0
138408,19800425,    4,    0
138408,19800426,   47,    0
138408,19800427,   35,    0
138408,19800428,    0,    0
138408,19800429,    4,    0
138408,19800430,    4,    0
138408,19800501,    0,    0
138408,19800502,    0,    0
138408,19800503,    0,    0
138408,19800504,    0,    0
138408,19800505,    0,    0
138408,19800506,    0,    0
138408,19800507,    6,    0
138408,19800508,   13,    0
138408,19800509,    0,    0
138408,19800510,    0,    0
138408,19800511,    0,    0
138408,19800512,    0,    0
138408,19800513,    0,    0
138408,19800514,    0,    0
138408,19800515,    0,    0
138408,19800516,    0,    0
138408,19800517,    0,    0
138408,19800518,    0,    0
138408,19800519,   12,    0
138408,19800520,  278,    0
138408,19800521,   22,    0
138408,19800522,   61,    0
138408,19800523,    0,    0
138408,19800524,    0,    0
138408,19800525,   41,    0
138408,19800526,    8,    0
138408,19800527,    0,    0
138408,19800528,    0,    0
138408,19800529,    9,    0
138408,19800530,    9,    0
138408,19800531,    0,    0
138408,19800601,  116,    0
138408,19800602,    2,    0
138408,19800603,    0,    0
138408,19800604,    0,    0
138408,19800605,    0,    0
138408,19800606,    0,    0
138408,19800607,    0,    0
138408,19800608,    0,    0
138408,19800609,    0,    0
138408,19800610,    0,    0
138408,19800611,  184,    0
138408,19800612,   24,    0
138408,19800613,    0,    0
138408,19800614,    0,    0
138408,19800615,    0,    0
138408,19800616,    0,    0
138408,19800617,    0,    0
138408,19800618,    1,    0
138408,19800619,   22,    0
138408,19800620,  124,    0
138408,19800621,    9,    0
138408,19800622,   69,    0
138408,19800623,   18,    0
138408,19800624,   48,    0
138408,19800625,   47,    0
138408,19800626,   50,    0
138408,19800627,   24,    0
138408,19800628,   13,    0
138408,19800629,    2,    0
138408,19800630,    0,    0
138408,19800701,   12,    0
138408,19800702,   19,    0
138408,19800703,    0,    0
138408,19800704,    0,    0
138408,19800705,    0,    0
138408,19800706,    0,    0
138408,19800707,    0,    0
138408,19800708,    6,    0
138408,19800709,    0,    0
138408,19800710,   10,    0
138408,19800711,    0,    0
138408,19800712,    0,    0
138408,19800713,    0,    0
138408,19800714,    5,    0
138408,19800715,   21,    0
138408,19800716,  375,    0
138408,19800717,    0,    0
138408,19800718,    0,    0
138408,19800719,   12,    0
138408,19800720,   63,    0
138408,19800721,    2,    0
138408,19800722,    0,    0
138408,19800723,    0,    0
138408,19800724,    0,    0
138408,19800725,    0,    0
138408,19800726,    0,    0
138408,19800727,    0,    0
138408,19800728,    0,    0
138408,19800729,    0,    0
138408,19800730,    0,    0
138408,19800731,    0,    0
138408,19800801,   77,    0
138408,19800802,    0,    0
138408,19800803,  156,    0
138408,19800804,    3,    0
138408,19800805,   43,    0
138408,19800806,   18,    0
138408,19800807,  110,    0
138408,19800808,   97,    0
138408,19800809,   20,    0
138408,19800810,    0,    0
138408,19800811,    0,    0
138408,19800812,    0,    0
138408,19800813,    0,    0
138408,19800814,    0,    0
138408,19800815,    0,    0
138408,19800816,    0,    0
138408,19800817,    0,    0
138408,19800818,    0,    0
138408,19800819,    0,    0
138408,19800820,  105,    0
138408,19800821,   37,    0
138408,19800822,  128,    0
138408,19800823,   15,    0
138408,19800824,    3,    0
138408,19800825,    0,    0
138408,19800826,    0,    0
138408,19800827,   20,    0
138408,19800828,   65,    0
138408,19800829,   30,    0
138408,19800830,   25,    0
138408,19800831,    0,    0
138408,19800901,    0,    0
138408,19800902,   53,    0
138408,19800903,    0,    0
138408,19800904,    0,    0
138408,19800905,    0,    0
138408,19800906,   57,    0
138408,19800907,    0,    0
138408,19800908,    0,    0
138408,19800909,   88,    0
138408,19800910,   44,    0
138408,19800911,   83,    0
138408,19800912,   11,    0
138408,19800913,   35,    0
138408,19800914,    8,    0
138408,19800915,    0,    0
138408,19800916,    0,    0
138408,19800917,   93,    0
138408,19800918,    0,    0
138408,19800919,    0,    0
138408,19800920,    0,    0
138408,19800921,    2,    0
138408,19800922,    0,    0
138408,19800923,    4,    0
138408,19800924,   25,    0
138408,19800925,    2,    0
138408,19800926,    0,    0
138408,19800927,    0,    0
138408,19800928,    0,    0
138408,19800929,   46,    0
138408,19800930,    6,    0
138408,19801001,   19,    0
138408,19801002,    0,    0
138408,19801003,    0,    0
138408,19801004,    0,    0
138408,19801005,   22,    0
138408,19801006,    6,    0
138408,19801007,   55,    0
138408,19801008,   15,    0
138408,19801009,    0,    0
138408,19801010,    1,    0
138408,19801011,   66,    0
138408,19801012,   13,    0
138408,19801013,    0,    0
138408,19801014,  139,    0
138408,19801015,   35,    0
138408,19801016,    0,    0
138408,19801017,   14,    0
138408,19801018,    0,    0
138408,19801019,    0,    0
138408,19801020,    8,    0
138408,19801021,    0,    0
138408,19801022,    0,    0
138408,19801023,  121,    0
138408,19801024,   72,    0
138408,19801025,   57,    0
138408,19801026,    0,    0
138408,19801027,   94,    0
138408,19801028,  125,    0
138408,19801029,   61,    0
138408,19801030,   14,    0
138408,19801031,    0,    0
138408,19801101,    0,    0
138408,19801102,    0,    0
138408,19801103,    0,    0
138408,19801104,    0,    0
138408,19801105,    0,    0
138408,19801106,    0,    0
138408,19801107,    0,    0
138408,19801108,    0,    0
138408,19801109,   11,    0
138408,19801110,   12,    0
138408,19801111,   27,    0
138408,19801112,   28,    0
138408,19801113,   10,    0
138408,19801114,    0,    0
138408,19801115,   93,    0
138408,19801116,    5,    0
138408,19801117,   43,    0
138408,19801118,   52,    0
138408,19801119,    3,    0
138408,19801120,   16,    0
138408,19801121,    0,    0
138408,19801122,   21,    0
138408,19801123,   12,    0
138408,19801124,    0,    0
138408,19801125,    0,    0
138408,19801126,    0,    0
138408,19801127,   96,    0
138408,19801128,   20,    0
138408,19801129,    0,    0
138408,19801130,    0,    0
138408,19801201,    0,    0
138408,19801202,   68,    0
138408,19801203,   24,    0
138408,19801204,   27,    0
138408,19801205,    4,    0
138408,19801206,    9,    0
138408,19801207,    5,    0
138408,19801208,    0,    0
138408,19801209,   55,    0
138408,19801210,  126,    0
138408,19801211,    5,    0
138408,19801212,    2,    0
138408,19801213,   56,    0
138408,19801214,    8,    0
138408,19801215,  114,    0
138408,19801216,    0,    0
138408,19801217,    0,    0
138408,19801218,   37,    0
138408,19801219,   18,    0
138408,19801220,   38,    0
138408,19801221,    0,    0
138408,19801222,    6,    0
138408,19801223,   98,    0
138408,19801224,    2,    0
138408,19801225,   43,    0
138408,19801226,    0,    0
138408,19801227,    0,    0
138408,19801228,    0,    0
138408,19801229,    0,    0
138408,19801230,   20,    0
138408,19801231,   15,    0
138408,19810101,    0,    0
138408,19810102,    0,    0
138408,19810103,   13,    0
138408,19810104,    0,    0
138408,19810105,    6,    0
138408,19810106,    0,    0
138408,19810107,    4,    0
138408,19810108,    3,    0
138408,19810109,    5,    0
138408,19810110,    0,    0
138408,19810111,    3,    0
138408,19810112,    0,    0
138408,19810113,    0,    0
138408,19810114,   28,    0
138408,19810115,    6,    0
138408,19810116,    0,    0
138408,19810117,    3,    0
138408,19810118,    8,    0
138408,19810119,    2,    0
138408,19810120,    0,    0
138408,19810121,    0,    0
138408,19810122,    0,    0
138408,19810123,    0,    0
138408,19810124,    0,    0
138408,19810125,    1,    0
138408,19810126,    0,    0
138408,19810127,    0,    0
138408,19810128,    0,    0
138408,19810129,    0,    0
138408,19810130,    0,    0
138408,19810131,    0,    0
138408,19810201,    0,    0
138408,19810202,    6,    0
138408,19810203,   52,    0
138408,19810204,   10,    0
138408,19810205,    5,    0
138408,19810206,    3,    0
138408,19810207,   59,    0
138408,19810208,    2,    0
138408,19810209,    0,    0
138408,19810210,   67,    0
138408,19810211,   52,    0
138408,19810212,    4,    0
138408,19810213,   12,    0
138408,19810214,   37,    0
138408,19810215,    0,    0
138408,19810216,    0,    0
138408,19810217,    0,    0
138408,19810218,    6,    0
138408,19810219,    5,    0
138408,19810220,    9,    0
138408,19810221,    2,    0
138408,19810222,    0,    0
138408,19810223,   27,    0
138408,19810224,   23,    0
138408,19810225,    0,    0
138408,19810226,    2,    0
138408,19810227,    0,    0
138408,19810228,    0,    0
138408,19810301,    0,    0
138408,19810302,    0,    0
138408,19810303,    2,    0
138408,19810304,    0,    0
138408,19810305,   49,    0
138408,19810306,    3,    0
138408,19810307,  187,    0
138408,19810308,   11,    0
138408,19810309,    0,    0
138408,19810310,    0,    0
138408,19810311,    0,    0
138408,19810312,    0,    0
138408,19810313,   74,    0
138408,19810314,    0,    0
138408,19810315,    0,    0
138408,19810316,    0,    0
138408,19810317,    0,    0
138408,19810318,   10,    0
138408,19810319,   51,    0
138408,19810320,   21,    0
138408,19810321,   11,    0
138408,19810322,    7,    0
138408,19810323,   14,    0
138408,19810324,   27,    0
138408,19810325,   83,    0
138408,19810326,  102,    0
138408,19810327,    1,    0
138408,19810328,    0,    0
138408,19810329,    0,    0
138408,19810330,    0,    0
138408,19810331,    0,    0
138408,19810401,    0,    0
138408,19810402,    0,    0
138408,19810403,    0,    0
138408,19810404,    0,    0
138408,19810405,    0,    0
138408,19810406,    0,    0
138408,19810407,    0,    0
138408,19810408,    0,    0
138408,19810409,    0,    0
138408,19810410,    0,    0
138408,19810411,    0,    0
138408,19810412,    0,    0
138408,19810413,    0,    0
138408,19810414,    0,    0
138408,19810415,    0,    0
138408,19810416,    0,    0
138408,19810417,    0,    0
138408,19810418,    4,    0
138408,19810419,   21,    0
138408,19810420,    0,    0
138408,19810421,    8,    0
138408,19810422,   11,    0
138408,19810423,    0,    0
138408,19810424,    0,    0
138408,19810425,    0,    0
138408,19810426,    0,    0
138408,19810427,    0,    0
138408,19810428,    0,    0
138408,19810429,   82,    0
138408,19810430,    2,    0
138408,19810501,   55,    0
138408,19810502,   14,    0
138408,19810503,    0,    0
138408,19810504,   19,    0
138408,19810505,   76,    0
138408,19810506,    0,    0
138408,19810507,    0,    0
138408,19810508,    0,    0
138408,19810509,    0,    0
138408,19810510,    0,    0
138408,19810511,    0,    0
138408,19810512,    0,    0
138408,19810513,    0,    0
138408,19810514,    0,    0
138408,19810515,    0,    0
138408,19810516,    0,    0
138408,19810517,    0,    0
138408,19810518,    0,    0
138408,19810519,    0,    0
138408,19810520,    0,    0
138408,19810521,    0,    0
138408,19810522,    0,    0
138408,19810523,    0,    0
138408,19810524,    6,    0
138408,19810525,  133,    0
138408,19810526,    5,    0
138408,19810527,   67,    0
138408,19810528,    0,    0
138408,19810529,    7,    0
138408,19810530,    0,    0
138408,19810531,    0,    0
138408,19810601,    0,    0
138408,19810602,    0,    0
138408,19810603,   12,    0
138408,19810604,    0,    0
138408,19810605,    0,    0
138408,19810606,    6,    0
138408,19810607,  124,    0
138408,19810608,    3,    0
138408,19810609,    0,    0
138408,19810610,    7,    0
138408,19810611,   59,    0
138408,19810612,   95,    0
138408,19810613,    0,    0
138408,19810614,   19,    0
138408,19810615,  140,    0
138408,19810616,   61,    0
138408,19810617,    0,    0
138408,19810618,    0,    0
138408,19810619,    0,    0
138408,19810620,  105,    0
138408,19810621,    3,    0
138408,19810622,    0,    0
138408,19810623,    0,    0
138408,19810624,   45,    0
138408,19810625,  213,    0
138408,19810626,    2,    0
138408,19810627,    0,    0
138408,19810628,   35,    0
138408,19810629,    6,    0
138408,19810630,   52,    0
138408,19810701,    0,    0
138408,19810702,    0,    0
138408,19810703,   39,    0
138408,19810704,    0,    0
138408,19810705,    0,    0
138408,19810706,   48,    0
138408,19810707,    0,    0
138408,19810708,    0,    0
138408,19810709,    0,    0
138408,19810710,    0,    0
138408,19810711,    0,    0
138408,19810712,    3,    0
138408,19810713,   44,    0
138408,19810714,    0,    0
138408,19810715,   32,    0
138408,19810716,  137,    0
138408,19810717,  208,    0
138408,19810718,   29,    0
138408,19810719,    0,    0
138408,19810720,    0,    0
138408,19810721,    0,    0
138408,19810722,    0,    0
138408,19810723,    0,    0
138408,19810724,   35,    0
138408,19810725,   58,    0
138408,19810726,    0,    0
138408,19810727,    0,    0
138408,19810728,    0,    0
138408,19810729,    9,    0
138408,19810730,    1,    0
138408,19810731,    0,    0
138408,19810801,    0,    0
138408,19810802,    0,    0
138408,19810803,    0,    0
138408,19810804,    0,    0
138408,19810805,    0,    0
138408,19810806,    0,    0
138408,19810807,    0,    0
138408,19810808,    0,    0
138408,19810809,    0,    0
138408,19810810,   27,    0
138408,19810811,    1,    0
138408,19810812,    0,    0
138408,19810813,    0,    0
138408,19810814,    0,    0
138408,19810815,    0,    0
138408,19810816,  106,    0
138408,19810817,    0,    0
138408,19810818,    0,    0
138408,19810819,    4,    0
138408,19810820,    0,    0
138408,19810821,   11,    0
138408,19810822,   10,    0
138408,19810823,    0,    0
138408,19810824,   10,    0
138408,19810825,    0,    0
138408,19810826,   18,    0
138408,19810827,    0,    0
138408,19810828,   11,    0
138408,19810829,   20,    0
138408,19810830,    4,    0
138408,19810831,    0,    0
138408,19810901,    0,    0
138408,19810902,    0,    0
138408,19810903,    0,    0
138408,19810904,    0,    0
138408,19810905,    0,    0
138408,19810906,    0,    0
138408,19810907,    0,    0
138408,19810908,    0,    0
138408,19810909,    0,    0
138408,19810910,    0,    0
138408,19810911,    0,    0
138408,19810912,    0,    0
138408,19810913,   69,    0
138408,19810914,   16,    0
138408,19810915,    6,    0
138408,19810916,    0,    0
138408,19810917,    0,    0
138408,19810918,    0,    0
138408,19810919,   61,    0
138408,19810920,   99,    0
138408,19810921,   49,    0
138408,19810922,   21,    0
138408,19810923,    0,    0
138408,19810924,    0,    0
138408,19810925,    2,    0
138408,19810926,    1,    0
138408,19810927,    0,    0
138408,19810928,    4,    0
138408,19810929,   64,    0
138408,19810930,    0,    0
138408,19811001,    0,    0
138408,19811002,    0,    0
138408,19811003,   20,    0
138408,19811004,   35,    0
138408,19811005,   25,    0
138408,19811006,   54,    0
138408,19811007,   29,    0
138408,19811008,    0,    0
138408,19811009,   36,    0
138408,19811010,   34,    0
138408,19811011,    0,    0
138408,19811012,   20,    0
138408,19811013,   57,    0
138408,19811014,   69,    0
138408,19811015,    9,    0
138408,19811016,   10,    0
138408,19811017,    0,    0
138408,19811018,    0,    0
138408,19811019,   60,    0
138408,19811020,  140,    0
138408,19811021,    4,    0
138408,19811022,    0,    0
138408,19811023,    5,    0
138408,19811024,    7,    0
138408,19811025,   19,    0
138408,19811026,    1,    0
138408,19811027,    0,    0
138408,19811028,  116,    0
138408,19811029,   14,    0
138408,19811030,   43,    0
138408,19811031,    0,    0
138408,19811101,   62,    0
138408,19811102,   77,    0
138408,19811103,    2,    0
138408,19811104,    7,    0
138408,19811105,   21,    0
138408,19811106,    0,    0
138408,19811107,    0,    0
138408,19811108,    0,    0
138408,19811109,    0,    0
138408,19811110,    4,    0
