EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, RISUNGS (STAID: 6107).
Blended and updated with sources: 138246 138270 138302 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
138270,19790101,   31,    0
138270,19790102,  111,    0
138270,19790103,   14,    0
138270,19790104,   54,    0
138270,19790105,    0,    0
138270,19790106,    1,    0
138270,19790107,  103,    0
138270,19790108,    0,    0
138270,19790109,   35,    0
138270,19790110,   58,    0
138270,19790111,    0,    0
138270,19790112,   71,    0
138270,19790113,    0,    0
138270,19790114,   18,    0
138270,19790115,   26,    0
138270,19790116,    0,    0
138270,19790117,    3,    0
138270,19790118,   11,    0
138270,19790119,    2,    0
138270,19790120,    1,    0
138270,19790121,    4,    0
138270,19790122,    6,    0
138270,19790123,   16,    0
138270,19790124,   67,    0
138270,19790125,   26,    0
138270,19790126,   59,    0
138270,19790127,   11,    0
138270,19790128,    0,    0
138270,19790129,    0,    0
138270,19790130,  210,    0
138270,19790131,   78,    0
138270,19790201,   62,    0
138270,19790202,   33,    0
138270,19790203,   63,    0
138270,19790204,   15,    0
138270,19790205,    0,    0
138270,19790206,    0,    0
138270,19790207,    0,    0
138270,19790208,   22,    0
138270,19790209,    0,    0
138270,19790210,    0,    0
138270,19790211,    0,    0
138270,19790212,    0,    0
138270,19790213,   21,    0
138270,19790214,   15,    0
138270,19790215,    2,    0
138270,19790216,    0,    0
138270,19790217,    0,    0
138270,19790218,    0,    0
138270,19790219,    0,    0
138270,19790220,    0,    0
138270,19790221,    0,    0
138270,19790222,    0,    0
138270,19790223,    0,    0
138270,19790224,    0,    0
138270,19790225,    0,    0
138270,19790226,    0,    0
138270,19790227,    0,    0
138270,19790228,    0,    0
138270,19790301,    8,    0
138270,19790302,   16,    0
138270,19790303,   42,    0
138270,19790304,    0,    0
138270,19790305,    0,    0
138270,19790306,    0,    0
138270,19790307,    3,    0
138270,19790308,    0,    0
138270,19790309,    3,    0
138270,19790310,   15,    0
138270,19790311,    0,    0
138270,19790312,   23,    0
138270,19790313,   22,    0
138270,19790314,    6,    0
138270,19790315,    0,    0
138270,19790316,   14,    0
138270,19790317,   18,    0
138270,19790318,    0,    0
138270,19790319,    0,    0
138270,19790320,    0,    0
138270,19790321,  108,    0
138270,19790322,    0,    0
138270,19790323,   31,    0
138270,19790324,   10,    0
138270,19790325,    1,    0
138270,19790326,   68,    0
138270,19790327,   38,    0
138270,19790328,    0,    0
138270,19790329,   13,    0
138270,19790330,   48,    0
138270,19790331,  184,    0
138270,19790401,   58,    0
138270,19790402,   11,    0
138270,19790403,    5,    0
138270,19790404,    0,    0
138270,19790405,    0,    0
138270,19790406,    0,    0
138270,19790407,    0,    0
138270,19790408,    0,    0
138270,19790409,    0,    0
138270,19790410,    0,    0
138270,19790411,    0,    0
138270,19790412,    0,    0
138270,19790413,   21,    0
138270,19790414,    0,    0
138270,19790415,    0,    0
138270,19790416,    0,    0
138270,19790417,    0,    0
138270,19790418,    0,    0
138270,19790419,    0,    0
138270,19790420,    9,    0
138270,19790421,   42,    0
138270,19790422,   10,    0
138270,19790423,    2,    0
138270,19790424,    3,    0
138270,19790425,   25,    0
138270,19790426,    0,    0
138270,19790427,    0,    0
138270,19790428,    0,    0
138270,19790429,  103,    0
138270,19790430,   40,    0
138270,19790501,    1,    0
138270,19790502,   46,    0
138270,19790503,    0,    0
138270,19790504,    0,    0
138270,19790505,   28,    0
138270,19790506,    0,    0
138270,19790507,    0,    0
138270,19790508,    5,    0
138270,19790509,    0,    0
138270,19790510,   25,    0
138270,19790511,    3,    0
138270,19790512,    0,    0
138270,19790513,    0,    0
138270,19790514,    0,    0
138270,19790515,    0,    0
138270,19790516,    0,    0
138270,19790517,    4,    0
138270,19790518,   20,    0
138270,19790519,    0,    0
138270,19790520,    0,    0
138270,19790521,    0,    0
138270,19790522,    0,    0
138270,19790523,    0,    0
138270,19790524,    0,    0
138270,19790525,   13,    0
138270,19790526,    0,    0
138270,19790527,    0,    0
138270,19790528,   14,    0
138270,19790529,    0,    0
138270,19790530,    0,    0
138270,19790531,    0,    0
138270,19790601,    0,    0
138270,19790602,    0,    0
138270,19790603,    0,    0
138270,19790604,    0,    0
138270,19790605,    0,    0
138270,19790606,    0,    0
138270,19790607,    0,    0
138270,19790608,    9,    0
138270,19790609,   46,    0
138270,19790610,    0,    0
138270,19790611,    0,    0
138270,19790612,    0,    0
138270,19790613,    0,    0
138270,19790614,    0,    0
138270,19790615,    0,    0
138270,19790616,    0,    0
138270,19790617,    0,    0
138270,19790618,    0,    0
138270,19790619,    0,    0
138270,19790620,    0,    0
138270,19790621,    0,    0
138270,19790622,    0,    0
138270,19790623,    0,    0
138270,19790624,    0,    0
138270,19790625,    6,    0
138270,19790626,    0,    0
138270,19790627,    0,    0
138270,19790628,    0,    0
138270,19790629,    3,    0
138270,19790630,    7,    0
138246,19790701,-9999,    9
138246,19790702,-9999,    9
138246,19790703,-9999,    9
138246,19790704,-9999,    9
138246,19790705,-9999,    9
138246,19790706,-9999,    9
138246,19790707,-9999,    9
138246,19790708,-9999,    9
138246,19790709,-9999,    9
138246,19790710,-9999,    9
138246,19790711,-9999,    9
138246,19790712,-9999,    9
138246,19790713,-9999,    9
138246,19790714,-9999,    9
138246,19790715,-9999,    9
138246,19790716,-9999,    9
138246,19790717,-9999,    9
138246,19790718,-9999,    9
138246,19790719,-9999,    9
138246,19790720,-9999,    9
138246,19790721,-9999,    9
138246,19790722,-9999,    9
138246,19790723,-9999,    9
138246,19790724,-9999,    9
138246,19790725,-9999,    9
138246,19790726,-9999,    9
138246,19790727,-9999,    9
138246,19790728,-9999,    9
138246,19790729,-9999,    9
138246,19790730,-9999,    9
138246,19790731,-9999,    9
138246,19790801,-9999,    9
138246,19790802,-9999,    9
138246,19790803,-9999,    9
138246,19790804,-9999,    9
138246,19790805,-9999,    9
