EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, ANJUM (STAID: 2359).
Blended and updated with sources: 108976 109078 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109078,19790101,    9,    0
109078,19790102,   36,    0
109078,19790103,   21,    0
109078,19790104,    0,    0
109078,19790105,    0,    0
109078,19790106,    2,    0
109078,19790107,    9,    0
109078,19790108,    6,    0
109078,19790109,   21,    0
109078,19790110,   62,    0
109078,19790111,   43,    0
109078,19790112,   37,    0
109078,19790113,    2,    0
109078,19790114,    0,    0
109078,19790115,    0,    0
109078,19790116,    0,    0
109078,19790117,    0,    0
109078,19790118,    0,    0
109078,19790119,    0,    0
109078,19790120,    0,    0
109078,19790121,    0,    0
109078,19790122,    0,    0
109078,19790123,  112,    0
109078,19790124,    8,    0
109078,19790125,   42,    0
109078,19790126,    3,    0
109078,19790127,    2,    0
109078,19790128,    0,    0
109078,19790129,    5,    0
109078,19790130,   20,    0
109078,19790131,   12,    0
109078,19790201,  100,    0
109078,19790202,    8,    0
109078,19790203,    0,    0
109078,19790204,    2,    0
109078,19790205,    3,    0
109078,19790206,    0,    0
109078,19790207,    3,    0
109078,19790208,    1,    0
109078,19790209,    1,    0
109078,19790210,    0,    0
109078,19790211,    6,    0
109078,19790212,   19,    0
109078,19790213,  103,    0
109078,19790214,    4,    0
109078,19790215,    0,    0
109078,19790216,    0,    0
109078,19790217,    0,    0
109078,19790218,    0,    0
109078,19790219,    0,    0
109078,19790220,    0,    0
109078,19790221,    0,    0
109078,19790222,   15,    0
109078,19790223,    0,    0
109078,19790224,    0,    0
109078,19790225,    3,    0
109078,19790226,    2,    0
109078,19790227,    0,    0
109078,19790228,    4,    0
109078,19790301,    3,    0
109078,19790302,    3,    0
109078,19790303,   66,    0
109078,19790304,    0,    0
109078,19790305,    0,    0
109078,19790306,   11,    0
109078,19790307,    0,    0
109078,19790308,   59,    0
109078,19790309,  180,    0
109078,19790310,   19,    0
